date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:42	11191/11191	---M-Z	200	added ('OK')	application/javascript	etag:%227fdb2ab21a067220674f6b1787a1b8fc%22	https://github.githubassets.com/assets/environment-f0adafbf.js	github.githubassets.com/assets/environment-f0adafbf.js	(from https://github.com/bgoonz)
00:37:45	391652/391652	---M-Z	200	added ('OK')	text/css	etag:%220547d1872de21c1c8791c9bc0b41a5ed%22	https://github.githubassets.com/assets/github-95442d2c135f9cf64636b5d905daac09.css	github.githubassets.com/assets/github-95442d2c135f9cf64636b5d905daac09.css	(from https://github.com/bgoonz)
00:37:48	80286/80286	---M-Z	200	added ('OK')	application/javascript	etag:%22f87fb3995b12ba28fc43a6675a5db4e8%22	https://github.githubassets.com/assets/chunk-frameworks-b9e826ce.js	github.githubassets.com/assets/chunk-frameworks-b9e826ce.js	(from https://github.com/bgoonz)
00:37:52	149969/149969	---M-Z	200	added ('OK')	application/javascript	etag:%226aa3df974170bf20220a05a08ae0b005%22	https://github.githubassets.com/assets/chunk-vendor-3ae49f1d.js	github.githubassets.com/assets/chunk-vendor-3ae49f1d.js	(from https://github.com/bgoonz)
00:37:54	10946/10946	---M-Z	200	added ('OK')	application/javascript	etag:%228c36a1159f98e456d1293e32fef516b0%22	https://github.githubassets.com/assets/profile-dc195b13.js	github.githubassets.com/assets/profile-dc195b13.js	(from https://github.com/bgoonz)
00:37:55	191898/191898	---M-Z	200	added ('OK')	application/javascript	etag:%22eebe02be51d8e840724357d06b1242b1%22	https://github.githubassets.com/assets/behaviors-fe2f9320.js	github.githubassets.com/assets/behaviors-fe2f9320.js	(from https://github.com/bgoonz)
00:37:58	550/550	---M-Z	200	added ('OK')	text/xml	etag:W/%22601a2029-226%22	https://github.com/opensearch.xml	github.com/opensearch.xml	(from https://github.com/bgoonz)
00:37:59	1009/1009	---M--	200	added ('OK')	image/svg+xml	etag:%2204bd217449cdb8dfb2d1ca02bf880c4d%22	https://github.githubassets.com/pinned-octocat.svg	github.githubassets.com/pinned-octocat.svg	(from https://github.com/bgoonz)
00:38:00	958/958	---M--	200	added ('OK')	image/png	etag:%22346e09471362f2907510a31812129cd2%22	https://github.githubassets.com/favicons/favicon.png	github.githubassets.com/favicons/favicon.png	(from https://github.com/bgoonz)
00:38:02	959/959	---M--	200	added ('OK')	image/svg+xml	etag:%226d802f68df0c09a4997cfd28eeafd9ff%22	https://github.githubassets.com/favicons/favicon.svg	github.githubassets.com/favicons/favicon.svg	(from https://github.com/bgoonz)
00:38:03	33270/33270	---M--	200	added ('OK')	image/png	etag:%22601a3375-81f6%22	https://github.com/fluidicon.png	github.com/fluidicon.png	(from https://github.com/bgoonz)
00:38:04	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2003%20Feb%202021%2005:37:23%20GMT	https://avatars.githubusercontent.com/	avatars.githubusercontent.com/index.html	(from https://github.com/bgoonz)
00:38:04	1205/1205	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%2286fa5c96904fde6c15905231203db2fc%22	https://github.com/manifest.json	github.com/manifest.json	(from https://github.com/bgoonz)
00:38:08	192404/192404	---MCZ	200	added ('OK')	text/html	etag:W/%22ca118b48cb41efdcc1c8ef96045fc34c%22	https://github.com/	github.com/index.html	(from https://github.com/bgoonz)
